epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
105,8155.45,0.86097,0.51796,0.00361,0.00742,0.95336,0.87837,0.88643,0.78117,0.73964,0.49771,0.00467,0.00412,0.000473919,0.000473919,0.000473919
106,8232.87,0.85772,0.50877,0.0036,0.00749,0.95469,0.87074,0.88329,0.77782,0.74048,0.49663,0.00468,0.00421,0.000466163,0.000466163,0.000466163
107,8311.47,0.83832,0.48327,0.00354,0.00719,0.95474,0.88379,0.88433,0.78059,0.73621,0.486,0.00468,0.00432,0.000458416,0.000458416,0.000458416
108,8389.3,0.87206,0.52113,0.00359,0.00769,0.94759,0.88212,0.88293,0.77955,0.74363,0.49816,0.00469,0.00428,0.000450682,0.000450682,0.000450682
109,8468.07,0.85061,0.49953,0.00359,0.00729,0.95222,0.86993,0.88325,0.77861,0.74131,0.50741,0.00468,0.00419,0.00044296,0.00044296,0.00044296
110,8546,0.85639,0.50236,0.00354,0.00704,0.95332,0.87591,0.88089,0.77802,0.73709,0.49822,0.0047,0.00411,0.000435254,0.000435254,0.000435254
111,8623.51,0.85347,0.51293,0.00364,0.00715,0.94943,0.8784,0.8819,0.77732,0.73692,0.50213,0.00469,0.00404,0.000427565,0.000427565,0.000427565
112,8700.94,0.83737,0.483,0.00357,0.00708,0.94884,0.8759,0.88055,0.7766,0.7384,0.50626,0.00467,0.00406,0.000419895,0.000419895,0.000419895
113,8778.63,0.84561,0.49202,0.00357,0.00706,0.94928,0.8826,0.88074,0.77636,0.73946,0.4948,0.00469,0.00436,0.000412246,0.000412246,0.000412246
114,8855.13,0.8191,0.46051,0.00354,0.00696,0.95049,0.88331,0.88385,0.77858,0.741,0.50242,0.00468,0.00409,0.00040462,0.00040462,0.00040462
115,8932.75,0.84946,0.4956,0.00355,0.00707,0.95106,0.88556,0.88479,0.78137,0.73801,0.49181,0.00469,0.00416,0.000397019,0.000397019,0.000397019
116,9009.65,0.82362,0.4692,0.00355,0.00691,0.95493,0.87675,0.88064,0.77639,0.74098,0.50339,0.00469,0.00448,0.000389445,0.000389445,0.000389445
117,9086.38,0.83825,0.48187,0.00357,0.00749,0.95745,0.87512,0.8837,0.77944,0.74135,0.50002,0.0047,0.0044,0.000381899,0.000381899,0.000381899
118,9163.38,0.82618,0.46667,0.00355,0.00714,0.95033,0.87741,0.88365,0.77962,0.74062,0.49194,0.0047,0.00404,0.000374383,0.000374383,0.000374383
119,9241.82,0.82971,0.47237,0.00354,0.00696,0.95748,0.88494,0.88174,0.77682,0.7385,0.49589,0.00473,0.00401,0.000366899,0.000366899,0.000366899
